,survey,quartiles,response_code,ratio,err
0,NSS-68-CE,q1,1,0.7449756173791475,0.0066245456345254946
1,NSS-68-CE,q1,2,0.2215672101475796,0.006450948395179844
2,NSS-68-CE,q1,3,0.026039861762811124,0.0024318149887340604
3,NSS-68-CE,q1,4,0.006755510307227925,0.0013332903320417487
4,NSS-68-CE,q1,9,0.0006618004032337023,0.00023590092067422866
5,NSS-68-CE,q2,1,0.7813341416138164,0.005832306876027731
6,NSS-68-CE,q2,2,0.19120229904085875,0.005619503094400323
7,NSS-68-CE,q2,3,0.022361859781033944,0.0018698776876769384
8,NSS-68-CE,q2,4,0.004919481226796391,0.0007612595557849686
9,NSS-68-CE,q2,9,0.00018221833749454362,0.00011601638645936315
10,NSS-68-CE,q3,1,0.8203978482202775,0.00504431136614033
11,NSS-68-CE,q3,2,0.15026315524466058,0.004707998787834361
12,NSS-68-CE,q3,3,0.022459844081472426,0.0019879988314545427
13,NSS-68-CE,q3,4,0.006251993787429168,0.0008429768394042838
14,NSS-68-CE,q3,9,0.0006271586661602334,0.00025784128479505605
15,NSS-68-CE,q4,1,0.8437446022357322,0.00429770733610695
16,NSS-68-CE,q4,2,0.12061009174486807,0.003913423437181847
17,NSS-68-CE,q4,3,0.026954212373296146,0.001849881412246161
18,NSS-68-CE,q4,4,0.008004003309909061,0.000838454107988511
19,NSS-68-CE,q4,9,0.000687090336194449,0.00027755823679955383
20,NSS-68-EU,q1,1,0.7920428092576947,0.005046277572055052
21,NSS-68-EU,q1,2,0.18163468334467542,0.004847010875108824
22,NSS-68-EU,q1,3,0.020760247766457934,0.0015464076538025066
23,NSS-68-EU,q1,4,0.00493132815902499,0.0007306784949781205
24,NSS-68-EU,q1,9,0.0006309314721468602,0.00019501522475472193
25,NSS-68-EU,q2,1,0.8078145577889593,0.005142842249169196
26,NSS-68-EU,q2,2,0.15938811601475106,0.004627451564158751
27,NSS-68-EU,q2,3,0.0261062535675469,0.0023814778089245687
28,NSS-68-EU,q2,4,0.005769584756040142,0.0009700858107389102
29,NSS-68-EU,q2,9,0.0009214878727025164,0.00040057765202246954
30,NSS-68-EU,q3,1,0.8293779324686383,0.004940039860291077
31,NSS-68-EU,q3,2,0.1383475872275764,0.004552493944458547
32,NSS-68-EU,q3,3,0.02395962937668777,0.0021208949056476336
33,NSS-68-EU,q3,4,0.007447210425863793,0.0010910712226374181
34,NSS-68-EU,q3,9,0.000867640501233703,0.0003577889349846709
35,NSS-68-EU,q4,1,0.8447445848742391,0.004918220604059174
36,NSS-68-EU,q4,2,0.11976936531561806,0.004452653929370706
37,NSS-68-EU,q4,3,0.024479810923657263,0.0017515733090808308
38,NSS-68-EU,q4,4,0.0100434148448679,0.0012597934537607186
39,NSS-68-EU,q4,9,0.0009628240416176665,0.0004253581827400678
40,NSS-72-DT,q1,1,0.8109166074073917,0.005804591975699704
41,NSS-72-DT,q1,2,0.17622563556023255,0.005646855785148818
42,NSS-72-DT,q1,3,0.008479269918282862,0.0014656070351269708
43,NSS-72-DT,q1,4,0.004046750933643964,0.0009543359651591238
44,NSS-72-DT,q1,9,0.0003317361804490091,0.00022857698242584047
45,NSS-72-DT,q2,1,0.8653434526397419,0.004399316414977008
46,NSS-72-DT,q2,2,0.12242511164580054,0.004305242562068914
47,NSS-72-DT,q2,3,0.008658795135245282,0.0010901292052709554
48,NSS-72-DT,q2,4,0.003532851462793837,0.0006810335252236805
49,NSS-72-DT,q2,9,3.978911641855222e-05,3.602993960629571e-05
50,NSS-72-DT,q3,1,0.8850335941041132,0.0038013757419251017
51,NSS-72-DT,q3,2,0.10228566415112118,0.0036192820135937157
52,NSS-72-DT,q3,3,0.009560577426958193,0.0011016458449230604
53,NSS-72-DT,q3,4,0.0030110823200828565,0.0005748509663803474
